experiment,epoch,batch_size,num_layers,dropout,hidden_size,dropout_ff,weight_decay,lr,embed_dim,activation,datasize,score
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/735048994,1,142,2,0.024740320830748654,122,0.2735452733101355,4.5691245433588647e-10,0.001004512428837542,100,tanh,4000000,0.9436281859070464
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/208393319,1,81,1,0.07521274374349864,470,0.5650807377269604,3.006000137447822e-08,0.0011846878414785975,300,tanh,4000000,0.9409295352323838
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/461912034,1,84,1,0.006720251979913628,149,0.4291018420640985,2.153852744372111e-09,0.0004442694271785783,100,tanh,4000000,0.9408295852073963
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/125664869,1,80,1,0.04484208229063705,726,0.25065691095674913,3.6173037281907746e-09,0.0005293130483678202,300,tanh,4000000,0.9407296351824088
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/125664869,0,80,1,0.04484208229063705,726,0.25065691095674913,3.6173037281907746e-09,0.0005293130483678202,300,tanh,4000000,0.9402298850574713
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/354551109,0,20,1,0.01265165257298444,734,0.2336106440512027,1.1788683574239261e-07,1.8890727568183374e-05,100,relu,500000,0.9402298850574713
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/208165837,1,52,1,0.050772712118556246,709,0.4759690951719783,5.69653612036497e-08,8.364480220148598e-05,300,tanh,4000000,0.9394302848575712
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/443863793,1,132,2,0.05637625683541621,221,0.3970348961582624,1.7498094965531722e-10,0.0016258642587066775,300,sigmoid,4000000,0.9381309345327337
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/735048994,0,142,2,0.024740320830748654,122,0.2735452733101355,4.5691245433588647e-10,0.001004512428837542,100,tanh,4000000,0.9374312843578211
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/964135711,1,81,4,0.015610060073525878,292,0.39592513146010644,3.263884579537111e-07,0.0014416209526234313,100,tanh,4000000,0.9369315342328836
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/483496965,1,52,2,0.05508616832658635,481,0.2784821281024423,7.790207213905214e-06,0.00018870652976310092,300,relu,4000000,0.9369315342328836
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/365263273,1,77,3,0.08964969897636182,127,0.5681363329003297,3.2923786106527275e-06,0.0008834353828776312,100,tanh,4000000,0.936231884057971
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/208393319,0,81,1,0.07521274374349864,470,0.5650807377269604,3.006000137447822e-08,0.0011846878414785975,300,tanh,4000000,0.9361319340329836
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/223446150,1,113,2,0.019757398555533823,431,0.25197556783365865,1.0016654824913816e-05,0.0011483089903230946,300,tanh,4000000,0.935832083958021
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/483496965,0,52,2,0.05508616832658635,481,0.2784821281024423,7.790207213905214e-06,0.00018870652976310092,300,relu,4000000,0.935432283858071
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/441574433,0,23,3,0.0269467328389999,403,0.4663732363490115,2.616955664376869e-09,2.4485778880893782e-05,300,sigmoid,500000,0.9353323338330835
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/208963000,1,120,2,0.012074490157425732,769,0.49310072136104355,1.900128292542562e-09,0.0003973557855220204,100,sigmoid,4000000,0.935032483758121
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/778180778,0,88,4,0.06934746995799339,341,0.612902369897588,3.93717383989404e-06,0.00024596694868031803,300,relu,4000000,0.9346326836581709
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/264782639,0,24,1,0.09238102495686645,947,0.41161832006760835,1.0034233014386543e-05,5.8161098387385666e-06,300,tanh,500000,0.9345327336331835
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/208165837,0,52,1,0.050772712118556246,709,0.4759690951719783,5.69653612036497e-08,8.364480220148598e-05,300,tanh,4000000,0.9339330334832584
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/461912034,0,84,1,0.006720251979913628,149,0.4291018420640985,2.153852744372111e-09,0.0004442694271785783,100,tanh,4000000,0.9339330334832584
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/309170390,1,135,1,0.020500914872363954,262,0.27646566633577047,2.6936538096716233e-09,0.0002942282923159115,300,sigmoid,4000000,0.9337331334332833
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/354667337,0,78,3,0.040463316825180035,935,0.41749606099716263,3.860985896372135e-09,0.0005180366702588622,100,tanh,4000000,0.9334332833583209
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/446959559,0,21,1,0.02919676597536851,809,0.27032400164831294,2.0290116222187433e-07,3.0278351823137735e-05,100,sigmoid,500000,0.9327336331834083
